City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
11,Ponta Do Sol,PT,68.72,broken clouds,32.6667,-17.1,Hotel do Campo
14,Polis,CY,60.62,clear sky,35.0367,32.4264,Marion
23,Huarmey,PE,63.52,broken clouds,-10.0681,-78.1522,Hotel Miramar
25,Sakakah,SA,63.97,clear sky,29.9697,40.2064,Fakhamat Al Orjoana Apartment
26,Lagoa,PT,66.38,broken clouds,39.05,-27.9833,Casa Das Faias
27,Saint George,US,66.94,clear sky,37.1041,-113.5841,Best Western Plus Abbey Inn
29,Ponta Delgada,PT,61.52,few clouds,37.7333,-25.6667,Vila Nova Hotel
43,Nouadhibou,MR,68.45,overcast clouds,20.931,-17.0347,El Medina
50,Lloret De Mar,ES,62.91,clear sky,41.6999,2.8457,Apartaments Guitart
56,Laguna,US,60.85,heavy intensity rain,38.421,-121.4238,"Holiday Inn Express & Suites Elk Grove Central - Hwy 99, an IHG Hotel"
58,Safita,SY,61.52,clear sky,34.8205,36.1153,Safita Cham Hotel
68,Aswan,EG,67.3,clear sky,24.0934,32.907,Nuba Nile
74,Cidreira,BR,60.1,clear sky,-30.1811,-50.2056,Hotel Castelo
80,Riyadh,SA,68.14,clear sky,24.6877,46.7219,"InterContinental Riyadh, an IHG Hotel"
90,Necochea,AR,61.03,scattered clouds,-38.5473,-58.7368,dyd -mar Hotel
91,Namibe,AO,61.97,scattered clouds,-15.1961,12.1522,Hotel Chik Chik Namibe
93,Mar Del Plata,AR,63.09,light rain,-38.0023,-57.5575,Gran Hotel Mar del Plata
110,Kabinda,CD,64.53,overcast clouds,-6.1333,24.4833,Village Mianda Mutole
111,Peniche,PT,61.61,broken clouds,39.3558,-9.3811,Hotel Star inn Peniche
117,Vila Franca Do Campo,PT,61.21,clear sky,37.7167,-25.4333,Pestana Bahia Praia
123,Barranca,PE,61.77,scattered clouds,-10.75,-77.7667,El Olivar Hospedaje
126,Yambio,SS,68.47,broken clouds,4.5721,28.3955,Naivasha Hotel
130,Ilhabela,BR,67.57,overcast clouds,-23.7781,-45.3581,Ilha Flat Hotel
146,Richards Bay,ZA,63.3,overcast clouds,-28.783,32.0377,BON Hotel Waterfront Richards Bay
162,Marzuq,YE,67.28,clear sky,14.4,46.4667,
164,Njeru,UG,64.8,broken clouds,0.4186,33.1731,2 Friends Guesthouse and Restaurant
178,Maldonado,UY,62.22,clear sky,-34.6667,-54.9167,La Cimarrona
185,Westport,US,60.8,overcast clouds,41.1415,-73.3579,The Westport Inn
193,Tiznit,MA,62.69,overcast clouds,29.5833,-9.5,
196,Camacha,PT,65.62,scattered clouds,33.0833,-16.3333,Hotel Porto Santo & Spa
197,Bud,US,69.89,clear sky,39.447,-86.1758,Ted McQuinn Trust
201,Pisco,PE,61.02,clear sky,-13.7,-76.2167,Hotel San Isidro Oficial
210,Chimbote,PE,61.9,few clouds,-9.0853,-78.5783,Hotel Viera Chimbote
215,Sekoma,BW,66.29,scattered clouds,-24.4,23.8833,
218,Ribeira Grande,PT,66.13,few clouds,38.5167,-28.7,Quinta da Meia Eira
222,La Palma,US,68.95,clear sky,33.8464,-118.0467,La Quinta Inn & Suites by Wyndham Buena Park
224,Kamina,CD,63.39,overcast clouds,-8.7386,24.9906,Guest House Florvia
225,Lukulu,ZM,69.3,overcast clouds,-14.3707,23.242,Ruth Guest House
227,Severinia,BR,67.46,overcast clouds,-20.8094,-48.8028,Oasis Hotel
228,Ribera,IT,63.39,scattered clouds,37.4984,13.2642,B&B Le Foglie D'Argento
230,Ouadda,CF,68.38,overcast clouds,8.0777,22.4007,
231,Syracuse,IT,69.39,broken clouds,37.0881,15.2792,Hotel Posta
242,Praia Da Vitoria,PT,63.75,few clouds,38.7333,-27.0667,Hotel Branco I
243,Jinka,ET,65.25,scattered clouds,5.65,36.65,
250,Shakawe,BW,69.37,scattered clouds,-18.3667,21.85,Ditlhapi Guest House
257,Colares,PT,61.32,overcast clouds,38.7992,-9.4469,Arribas Sintra Hotel
259,Joao Pinheiro,BR,69.67,overcast clouds,-17.7425,-46.1725,Hotel Santos
263,Mwinilunga,ZM,61.12,overcast clouds,-11.7358,24.4293,Kwakuwahi Lodge
265,Young,UY,63.23,clear sky,-32.6833,-57.6333,Posada Gira el Sol
271,Santa Fe,AR,64.98,clear sky,-31.6333,-60.7,Conquistador Hotel
281,Imbituba,BR,62.82,clear sky,-28.24,-48.6703,Praia Hotel Imbituba
290,Matay,EG,64.31,clear sky,28.419,30.7792,Nag Aespen
298,Bardiyah,LY,69.57,few clouds,31.7561,25.0865,بورتو بردية
305,Locri,IT,62.55,light rain,38.2414,16.2623,Grand Hotel President
307,San Vicente De Canete,PE,62.33,clear sky,-13.0751,-76.3835,Hotel Konford
308,General Roca,AR,66.61,overcast clouds,-39.0333,-67.5833,Hotel y Casino del Río General Roca
311,Elizabeth City,US,68.02,clear sky,36.2946,-76.2511,Hampton Inn Elizabeth City
321,Buta,CD,69.48,light rain,2.7858,24.73,HOTEL BISO NA BISO
328,Nador,MA,62.85,scattered clouds,35.174,-2.9287,Hôtel La Giralda
335,Hampton,US,68.02,clear sky,37.0299,-76.3452,Embassy Suites by Hilton Hampton Convention Center
347,Miraflores,MX,61.45,overcast clouds,19.2167,-98.8083,Hotel Mansión
363,Lodja,CD,69.26,moderate rain,-3.4833,23.4333,
371,Mizdah,LY,64.69,clear sky,31.4451,12.9801,محمدالمبروك الاريقط
374,Nalut,LY,65.14,clear sky,30.3333,10.85,
379,Iranshahr,IR,68.34,clear sky,27.2025,60.6848,نیک سرشت
387,Abnub,EG,62.82,clear sky,27.2696,31.1511,Romany Adly Gad
393,Demba,CD,68.72,light rain,-5.51,22.2667,Guest House Du Cinquantenaire
405,Bertoua,CM,67.86,overcast clouds,4.5833,13.6833,Hotel De Paris
410,Nassau,US,61.66,overcast clouds,40.7507,-73.5829,Hilton Garden Inn Westbury
411,Birin,NP,63.73,clear sky,26.8865,88.0718,Sangam hotel and lodge
417,Los Llanos De Aridane,ES,67.75,overcast clouds,28.6585,-17.9182,Valle Aridane
425,Point Pleasant,US,64.02,clear sky,40.0832,-74.0682,Point Pleasant Manor
431,Rawson,AR,61.86,overcast clouds,-43.3002,-65.1023,Hosteria Sampedro
432,Ribeira Brava,PT,68.72,broken clouds,32.65,-17.0667,Hotel do Campo
433,Lusambo,CD,69.26,light rain,-4.9667,23.45,
435,Chimore,BO,69.28,light rain,-16.9833,-65.1333,Bichito
444,Zaltan,LY,69.53,clear sky,32.947,11.8665,زلطن الشرقية
447,Carlisle,US,60.64,light rain,40.2015,-77.1889,Fairfield Inn & Suites by Marriott Carlisle
464,Geraldton,AU,63.01,broken clouds,-28.7667,114.6,Broadwater Mariner Resort
468,Camacupa,AO,63.23,light rain,-12.0167,17.4833,seviremde seni
481,Dehloran,IR,69.66,clear sky,32.6941,47.2679,کافه گیم استورم
482,San Jose De Ocoa,DO,66.9,clear sky,18.55,-70.5,Hotel El Barcon
504,Jardim,BR,64.53,broken clouds,-21.4803,-56.1381,Estancia Hotel - Jardim MS
507,Basoko,CD,69.94,light rain,1.2391,23.616,Jackyna Hotel
517,Vidalia,US,69.28,clear sky,32.2177,-82.4135,Quality Inn & Suites
529,Ballina,AU,69.98,moderate rain,-28.8667,153.5667,Ramada Hotel & Suites by Wyndham Ballina Byron
531,Viedma,AR,66.43,broken clouds,-40.8135,-62.9967,Hotel Cristal
532,Carmo,BR,66.15,overcast clouds,-21.9336,-42.6086,Pousada do Carmo
539,Puerto Del Rosario,ES,69.55,overcast clouds,28.5004,-13.8627,Hotel JM Puerto del Rosario
553,Agadir,MA,61.25,overcast clouds,30.4202,-9.5982,Iberostar Founty Beach
554,Diego De Almagro,CL,61.57,clear sky,-26.3667,-70.05,hotel luna del desierto
555,Pailon,BO,68.9,overcast clouds,-17.65,-62.75,Alojamiento pailon
557,Chlorakas,CY,61.83,clear sky,34.8042,32.4083,Elysium Hotel
559,Kindu,CD,68.14,overcast clouds,-2.95,25.95,Résidence Okanda
566,Sant Pere De Ribes,ES,62.35,clear sky,41.2667,1.7667,Dolce Sitges Barcelona
567,Yacuiba,BO,63.72,clear sky,-22.038,-63.6797,Hotel Monumental
589,Chiredzi,ZW,63.72,light rain,-21.05,31.6667,Clevers Hotel Chiredzi
613,Pontal Do Parana,BR,67.73,overcast clouds,-25.6533,-48.5128,Eco Hostel Residencial Bananeiras
617,Wum,CM,64.06,scattered clouds,6.3833,10.0667,Wum Council Hall
623,Kathmandu,NP,64.62,mist,27.7167,85.3167,Hotel Shanker Kathmandu
625,Sechura,PE,65.86,broken clouds,-5.5569,-80.8222,Hospedaje Costa Bella
637,Salta,AR,68.29,clear sky,-24.7859,-65.4117,Hotel Alejandro I
643,Betafo,MG,65.62,scattered clouds,-19.8333,46.85,CHEZ MALALA
649,Tuskegee,US,69.15,overcast clouds,32.424,-85.6916,Macon Motel
660,Kirtipur,NP,64.33,mist,27.6667,85.2833,The Soaltee Kathmandu
668,Asfi,MA,66.15,overcast clouds,32.2994,-9.2372,Hôtel Abda
669,Abu Samrah,SY,60.66,clear sky,35.3029,37.1841,
675,Pafos,CY,62.51,clear sky,34.7667,32.4167,Elysium Hotel
676,Molina,CL,60.53,clear sky,-35.1167,-71.2833,Hostal Pucará
680,Pokhara,NP,69.55,clear sky,28.2333,83.9833,Butterfly Lodge
682,Rurrenabaque,BO,62.87,overcast clouds,-14.4413,-67.5278,Casa de Campo
683,Buraydah,SA,66.65,clear sky,26.326,43.975,فندق راحة السلام
690,Vallenar,CL,65.37,clear sky,-28.5708,-70.7581,Humacao Bed & Breakfast
709,Lavumisa,SZ,65.52,overcast clouds,-27.31,31.892,ROADSIDE B&B
715,Gat,IL,67.41,clear sky,31.61,34.7642,OlusHome
