City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
189,Meadville,US,2021-10-22 17:16:11,41.6414,-80.1515,52.86,91,90,6.91
190,Elko,US,2021-10-22 17:17:31,41.0002,-115.5012,55.42,43,64,5.01
191,Bethel,US,2021-10-22 17:17:31,41.3712,-73.414,70.63,62,20,1.01
192,Tarnogskiy Gorodok,RU,2021-10-22 17:17:32,60.4997,43.5761,43.86,75,69,10.65
193,Burns Lake,CA,2021-10-22 17:17:34,54.2331,-125.7533,47.62,85,58,4.07
194,Iqaluit,CA,2021-10-22 17:17:35,63.7506,-68.5145,26.33,86,75,18.01
195,Omsukchan,RU,2021-10-22 17:17:36,62.5333,155.8,-10.44,86,84,1.61
196,Porto Novo,BJ,2021-10-22 17:17:37,6.4965,2.6036,81.32,75,91,6.76
197,Gamba,GA,2021-10-22 17:17:38,-2.65,10.0,77.27,85,93,8.39
198,Bogorodskoye,RU,2021-10-22 17:17:39,56.55,37.8833,43.07,66,43,16.93
199,Karpathos,GR,2021-10-22 17:17:41,35.507,27.2132,67.96,60,20,3.44
200,Selikhino,RU,2021-10-22 17:17:41,50.3672,137.4996,28.85,87,30,7.9
201,Waingapu,ID,2021-10-22 17:17:42,-9.6567,120.2641,79.47,82,77,4.21
202,Gornopravdinsk,RU,2021-10-22 17:17:42,60.05,69.9,33.96,96,100,9.64
203,Sao Joao Da Barra,BR,2021-10-22 17:17:43,-21.6403,-41.0511,77.09,74,56,8.81
204,Brazzaville,CG,2021-10-22 17:17:43,-4.2658,15.2832,79.11,83,98,1.95
205,Sao Filipe,CV,2021-10-22 17:17:44,14.8961,-24.4956,83.77,58,1,8.97
206,Hofn,IS,2021-10-22 17:17:44,64.2539,-15.2082,35.62,93,90,10.36
207,Acapulco,MX,2021-10-22 17:17:45,16.8634,-99.8901,82.22,78,90,3.44
208,Lyantonde,UG,2021-10-22 17:17:45,-0.4031,31.1572,66.4,83,97,2.17
209,Mitchell,US,2021-10-22 17:17:46,43.7094,-98.0298,47.1,75,1,5.99
210,Menongue,AO,2021-10-22 17:17:46,-14.6585,17.691,79.0,38,82,3.96
211,Jumla,NP,2021-10-22 17:15:05,29.2747,82.1838,52.23,89,62,2.75
212,Sitka,US,2021-10-22 17:15:15,57.0531,-135.33,51.69,66,90,20.71
213,Norsup,VU,2021-10-22 17:17:47,-16.0667,167.3833,77.58,88,39,4.25
214,Narsaq,GL,2021-10-22 17:17:48,60.9167,-46.05,35.82,86,100,4.83
215,Chiredzi,ZW,2021-10-22 17:17:48,-21.05,31.6667,85.44,30,67,6.93
216,Shellbrook,CA,2021-10-22 17:17:48,53.2168,-106.4011,31.23,52,4,12.97
217,Agadir,MA,2021-10-22 17:17:44,30.4202,-9.5982,73.85,62,7,4.81
218,Vieques,PR,2021-10-22 17:17:49,18.425,-65.8329,87.85,59,66,16.37
219,Chipiona,ES,2021-10-22 17:17:50,36.7366,-6.437,73.67,56,0,11.5
220,Saint George,US,2021-10-22 17:17:50,37.1041,-113.5841,75.67,40,1,0.0
221,Linxia,CN,2021-10-22 17:17:50,35.6003,103.2064,45.68,82,81,2.84
222,Mahanoro,MG,2021-10-22 17:17:51,-19.9,48.8,74.03,86,72,6.69
223,Port Hardy,CA,2021-10-22 17:15:12,50.6996,-127.4199,51.98,82,75,3.44
224,Trabzon,TR,2021-10-22 17:17:51,40.9167,39.8333,53.69,72,0,4.61
225,Bage,BR,2021-10-22 17:17:52,-31.3314,-54.1069,80.38,26,0,10.36
226,Benemerito De Las Americas,MX,2021-10-22 17:17:52,16.5167,-90.6439,82.9,74,97,2.55
227,Maldonado,UY,2021-10-22 17:17:53,-34.6667,-54.9167,74.59,50,25,4.07
228,Oxford,GB,2021-10-22 17:16:44,51.7522,-1.256,53.76,84,0,6.91
229,Myaundzha,RU,2021-10-22 17:17:53,63.0494,147.1858,0.0,98,100,2.68
230,Manaure,CO,2021-10-22 17:16:08,11.7751,-72.4445,90.07,54,33,19.69
231,Beringovskiy,RU,2021-10-22 17:17:54,63.05,179.3167,17.94,88,100,15.86
232,Waw,SS,2021-10-22 17:17:54,7.7029,27.9953,77.04,75,82,3.24
233,Lebu,CL,2021-10-22 17:17:55,-37.6167,-73.65,54.1,64,63,18.68
234,Yenagoa,NG,2021-10-22 17:17:55,4.9247,6.2642,74.26,96,100,3.38
235,Inirida,CO,2021-10-22 17:17:56,3.8653,-67.9239,86.68,59,98,0.98
236,Ballina,AU,2021-10-22 17:17:56,-28.8667,153.5667,65.95,98,23,6.11
237,Mikuni,JP,2021-10-22 17:17:57,36.2171,136.1519,55.31,66,97,19.15
238,Zhongxing,CN,2021-10-22 17:17:57,33.7039,118.6792,52.72,53,99,3.09
239,Ilulissat,GL,2021-10-22 17:17:58,69.2167,-51.1,23.02,68,75,3.44
240,Rawson,AR,2021-10-22 17:17:58,-43.3002,-65.1023,62.11,24,2,7.09
241,Beloha,MG,2021-10-22 17:17:59,-25.1667,45.05,66.7,73,38,12.71
242,Kijang,KR,2021-10-22 17:17:59,35.2442,129.2139,49.73,75,11,7.87
243,Etchoropo,MX,2021-10-22 17:17:59,26.7667,-109.6667,87.42,38,0,2.77
244,Hamirpur,IN,2021-10-22 17:18:00,25.95,80.15,77.23,55,0,6.13
245,Maarianhamina,AX,2021-10-22 17:18:00,60.0973,19.9348,40.86,87,20,9.22
246,Nicosia,CY,2021-10-22 17:15:57,35.1667,33.3667,71.69,64,20,5.75
247,Lerwick,GB,2021-10-22 17:18:01,60.1545,-1.1494,41.0,61,84,15.26
248,Katsuura,JP,2021-10-22 17:18:02,35.1333,140.3,54.19,83,100,19.01
249,Gawler,AU,2021-10-22 17:18:02,-34.6,138.7333,56.71,86,25,5.37
250,Dehu,IN,2021-10-22 17:18:03,18.7167,73.7667,71.28,65,7,5.28
251,Pitea,SE,2021-10-22 17:18:03,65.3172,21.4794,32.09,93,100,17.58
252,Mancio Lima,BR,2021-10-22 17:18:04,-7.6142,-72.8958,87.87,70,75,6.91
253,Jiangyou,CN,2021-10-22 17:18:04,31.7667,104.7167,54.81,88,100,0.85
254,Nalut,LY,2021-10-22 17:18:05,30.3333,10.85,81.52,23,57,9.17
255,Margate,GB,2021-10-22 17:16:16,51.3813,1.3862,55.69,73,100,1.01
256,Srednekolymsk,RU,2021-10-22 17:18:05,67.45,153.6833,-11.02,99,37,3.06
257,Tariba,VE,2021-10-22 17:18:06,7.8188,-72.2243,86.56,46,34,4.38
258,Isagarh,IN,2021-10-22 17:18:06,24.8333,77.8833,71.46,59,0,3.65
259,Buarcos,PT,2021-10-22 17:18:07,40.166,-8.8768,67.1,82,0,13.47
260,Pochutla,MX,2021-10-22 17:18:07,15.7432,-96.4661,85.05,68,94,4.92
261,San Luis,AR,2021-10-22 17:18:08,-33.295,-66.3356,71.85,40,50,14.36
262,Raudeberg,NO,2021-10-22 17:18:08,61.9875,5.1352,43.86,80,100,7.0
263,East London,ZA,2021-10-22 17:18:08,-33.0153,27.9116,63.54,72,0,9.22
264,Sorong,ID,2021-10-22 17:18:09,-0.8833,131.25,77.99,87,97,6.46
265,Jacqueville,CI,2021-10-22 17:18:10,5.2052,-4.4146,80.51,79,67,12.01
266,Tokmak,UA,2021-10-22 17:18:10,47.2514,35.7058,58.44,58,72,8.34
267,Surovikino,RU,2021-10-22 17:18:11,48.6078,42.8486,56.68,59,5,15.14
268,Beira,MZ,2021-10-22 17:18:11,-19.8436,34.8389,75.29,78,20,14.97
269,Luwuk,ID,2021-10-22 17:18:12,-0.9516,122.7875,77.79,84,96,2.42
270,Baillif,GP,2021-10-22 17:18:12,16.0202,-61.7463,87.3,64,18,13.65
271,Kyabe,TD,2021-10-22 17:18:13,9.4515,18.9449,80.51,69,47,3.09
272,Shevchenkove,UA,2021-10-22 17:18:13,49.6959,37.1735,55.18,55,45,7.54
273,Sarahan,IN,2021-10-22 17:18:13,31.5167,77.8,50.25,52,21,4.9
274,Mar Del Plata,AR,2021-10-22 17:16:06,-38.0023,-57.5575,58.08,90,90,1.01
275,Bella Vista,US,2021-10-22 17:18:14,36.4295,-94.2316,69.35,51,1,1.01
276,Pangai,TO,2021-10-22 17:18:15,-19.8,-174.35,75.31,57,40,13.8
277,Sapanta,RO,2021-10-22 17:18:15,47.9667,23.7,59.11,66,91,6.33
278,Flinders,AU,2021-10-22 17:18:16,-34.5833,150.8552,63.37,86,5,1.01
279,Shingu,JP,2021-10-22 17:18:16,33.7333,135.9833,52.75,83,2,7.09
280,Ponca City,US,2021-10-22 17:18:17,36.707,-97.0856,73.22,42,1,7.0
281,Rocha,UY,2021-10-22 17:18:17,-34.4833,-54.3333,75.06,46,6,4.65
282,Baoshan,CN,2021-10-22 17:18:18,46.5586,131.4244,35.31,68,6,6.8
283,Sembe,CG,2021-10-22 17:18:18,1.6481,14.5806,75.16,88,93,1.48
284,Bonavista,CA,2021-10-22 17:18:18,48.6499,-53.1147,55.4,64,26,6.93
285,Northam,GB,2021-10-22 17:18:19,51.0333,-4.2167,53.65,67,96,12.24
286,Plettenberg Bay,ZA,2021-10-22 17:18:19,-34.0527,23.3716,60.51,89,94,1.9
287,Kabo,CF,2021-10-22 17:18:20,7.6994,18.629,76.01,82,28,3.62
288,Chupaca,PE,2021-10-22 17:18:20,-12.0667,-75.2833,69.06,29,30,3.24
289,Codrington,AU,2021-10-22 17:18:20,-38.2667,141.9667,52.56,88,99,9.69
290,Nanortalik,GL,2021-10-22 17:18:21,60.1432,-45.2371,38.25,98,100,5.23
291,Saint-Augustin,CA,2021-10-22 17:18:22,51.226,-58.6502,46.96,44,59,5.59
292,Paamiut,GL,2021-10-22 17:18:22,61.994,-49.6678,35.67,73,100,18.72
293,North Platte,US,2021-10-22 17:18:23,41.1239,-100.7654,64.33,55,1,1.99
294,Yar-Sale,RU,2021-10-22 17:18:23,66.8333,70.8333,27.91,96,100,6.55
295,Praia Da Vitoria,PT,2021-10-22 17:18:24,38.7333,-27.0667,75.45,73,20,13.62
296,Isiro,CD,2021-10-22 17:18:24,2.7739,27.616,69.55,94,99,1.32
297,Izhma,RU,2021-10-22 17:18:24,65.0083,53.9113,34.86,98,100,4.5
298,Hoa Binh,VN,2021-10-22 17:18:25,20.8133,105.3383,66.09,74,100,1.9
299,Sinnamary,GF,2021-10-22 17:18:25,5.3833,-52.95,81.52,83,96,9.86
300,Banda Aceh,ID,2021-10-22 17:17:57,5.5577,95.3222,78.03,87,100,7.38
301,Suzun,RU,2021-10-22 17:18:26,53.7841,82.3116,37.63,56,36,11.5
302,Lasa,IT,2021-10-22 17:18:26,46.6166,10.7002,56.14,84,28,3.83
303,Balkhash,KZ,2021-10-22 17:18:27,46.844,74.9804,41.59,42,93,14.05
304,Gat,IL,2021-10-22 17:17:10,31.61,34.7642,74.08,100,15,10.29
305,Greeley,US,2021-10-22 17:15:39,40.4233,-104.7091,72.07,32,1,1.01
306,Ust-Kulom,RU,2021-10-22 17:18:28,61.6864,53.6902,46.09,92,100,11.56
307,Bengkulu,ID,2021-10-22 17:18:28,-3.8004,102.2655,76.12,90,100,4.14
308,Makat,KZ,2021-10-22 17:18:29,47.6469,53.3463,51.84,81,14,12.17
309,Quatre Cocos,MU,2021-10-22 17:18:29,-20.2078,57.7625,75.31,76,84,8.68
310,Seoul,KR,2021-10-22 17:15:13,37.5683,126.9778,49.44,44,0,1.21
311,College,US,2021-10-22 17:18:30,64.8569,-147.8028,28.58,86,75,0.0
312,Sakaiminato,JP,2021-10-22 17:18:30,35.55,133.2333,58.98,63,75,16.11
313,Aksu,CN,2021-10-22 17:18:31,41.1231,80.2644,55.45,44,100,3.47
314,Badvel,IN,2021-10-22 17:18:31,14.75,79.05,82.35,71,98,4.83
315,Kholmogory,RU,2021-10-22 17:18:31,64.2229,41.656,30.31,99,100,4.05
316,Port Blair,IN,2021-10-22 17:18:32,11.6667,92.75,81.05,81,100,2.24
317,Puerto Ayora,EC,2021-10-22 17:18:33,-0.7393,-90.3518,78.76,78,87,10.02
318,Zhangye,CN,2021-10-22 17:18:33,38.9342,100.4517,49.24,34,26,5.82
319,Saint-Pierre,RE,2021-10-22 17:18:34,-21.3393,55.4781,76.68,81,90,5.75
320,Doha,QA,2021-10-22 17:18:28,25.2867,51.5333,82.38,49,0,12.66
321,Victoria,HK,2021-10-22 17:18:34,22.2855,114.1577,68.32,77,99,4.0
322,Massaguet,TD,2021-10-22 17:18:35,12.4755,15.4365,95.58,25,21,7.52
323,Bima,ID,2021-10-22 17:18:35,-8.4667,118.7167,78.73,82,72,4.59
324,Laguna,US,2021-10-22 17:18:35,38.421,-121.4238,61.11,94,90,4.0
325,Inhambane,MZ,2021-10-22 17:18:36,-23.865,35.3833,73.38,68,40,19.57
326,Yurino,RU,2021-10-22 17:18:36,56.2942,46.3039,51.12,76,49,18.07
327,Kumluca,TR,2021-10-22 17:18:37,36.3703,30.2869,68.72,67,0,4.85
328,Maragogi,BR,2021-10-22 17:14:42,-9.0122,-35.2225,83.41,68,29,12.8
329,Mount Gambier,AU,2021-10-22 17:18:15,-37.8333,140.7667,48.97,93,92,4.14
330,Leshukonskoye,RU,2021-10-22 17:18:38,64.8989,45.7622,32.31,99,100,7.92
331,Dongzhen,CN,2021-10-22 17:18:38,22.3797,110.9389,60.17,81,100,6.04
332,Mogadishu,SO,2021-10-22 17:18:39,2.0371,45.3438,80.01,79,54,9.75
333,Sioux Lookout,CA,2021-10-22 17:18:39,50.1001,-91.917,39.27,81,75,4.61
334,Weyburn,CA,2021-10-22 17:16:18,49.6668,-103.8511,41.22,52,6,17.27
335,Zhuanghe,CN,2021-10-22 17:18:40,39.7008,122.9911,45.28,51,0,5.37
336,Karratha,AU,2021-10-22 17:18:40,-20.7377,116.8463,81.14,36,15,7.58
337,Bandarbeyla,SO,2021-10-22 17:18:40,9.4942,50.8122,78.96,75,9,9.69
338,Wilmington Island,US,2021-10-22 17:18:41,32.0036,-80.9737,83.03,63,1,9.22
339,Alofi,NU,2021-10-22 17:18:41,-19.0595,-169.9187,69.69,78,100,9.22
340,Dudinka,RU,2021-10-22 17:18:42,69.4058,86.1778,13.48,95,85,7.94
341,Geraldton,AU,2021-10-22 17:18:42,-28.7667,114.6,57.61,82,0,10.36
342,Amapa,BR,2021-10-22 17:18:43,1.0,-52.0,90.1,46,99,0.92
343,Tocopilla,CL,2021-10-22 17:18:43,-22.092,-70.1979,65.98,65,10,8.68
344,Conde,BR,2021-10-22 17:14:55,-7.2597,-34.9075,87.26,58,75,11.5
345,Marau,BR,2021-10-22 17:18:44,-28.4492,-52.2,80.55,44,0,4.9
346,Balakhta,RU,2021-10-22 17:18:44,55.38,91.6,38.3,88,100,10.0
347,Dole,FR,2021-10-22 17:18:45,47.0833,5.5,49.91,81,0,5.75
348,Haines Junction,CA,2021-10-22 17:18:45,60.7522,-137.5108,31.95,86,99,0.0
349,Soldato-Aleksandrovskoye,RU,2021-10-22 17:18:45,44.2653,43.7561,54.55,46,0,3.74
350,Aykhal,RU,2021-10-22 17:18:46,66.0,111.5,27.14,91,63,17.36
351,Huarmey,PE,2021-10-22 17:18:46,-10.0681,-78.1522,70.59,72,33,11.63
352,Kaeo,NZ,2021-10-22 17:18:47,-35.1,173.7833,59.32,97,100,19.6
353,Sola,VU,2021-10-22 17:18:47,-13.8833,167.55,79.99,78,89,6.58
354,Olafsvik,IS,2021-10-22 17:18:48,64.8945,-23.7142,41.67,93,100,23.47
355,Fortuna,US,2021-10-22 17:18:48,40.5982,-124.1573,58.98,75,40,1.01
356,Akyab,MM,2021-10-22 17:18:49,20.15,92.9,78.96,76,92,5.08
357,Teguise,ES,2021-10-22 17:18:49,29.0605,-13.564,73.62,53,20,18.41
358,Canutama,BR,2021-10-22 17:18:49,-6.5339,-64.3831,90.7,56,94,3.65
359,Dickinson,US,2021-10-22 17:18:50,29.4608,-95.0513,86.16,75,75,1.01
360,Tuatapere,NZ,2021-10-22 17:18:50,-46.1333,167.6833,48.06,78,99,3.6
361,Vysokogornyy,RU,2021-10-22 17:18:51,50.1167,139.15,17.2,99,91,2.59
362,Westport,US,2021-10-22 17:14:43,41.1415,-73.3579,72.09,59,20,1.01
363,Shatalovo,RU,2021-10-22 17:18:51,54.334,32.4465,44.22,68,60,16.24
364,Grand Forks,US,2021-10-22 17:15:52,47.9417,-97.4337,40.93,68,40,9.22
365,Brae,GB,2021-10-22 17:18:52,60.3964,-1.353,40.91,61,90,15.59
366,Qaqortoq,GL,2021-10-22 17:18:53,60.7167,-46.0333,36.1,97,100,9.35
367,Golden,US,2021-10-22 17:17:05,39.7555,-105.2211,70.65,22,20,1.99
368,Luoyang,CN,2021-10-22 17:17:36,34.6836,112.4536,51.94,66,89,4.85
369,Mayor Pablo Lagerenza,PY,2021-10-22 17:18:53,-19.9309,-60.7718,99.64,27,35,11.59
370,Demirci,TR,2021-10-22 17:18:54,39.0461,28.6589,55.38,50,0,2.39
371,Serpa,PT,2021-10-22 17:18:54,37.9458,-7.5975,73.36,32,0,11.32
372,Chuy,UY,2021-10-22 17:18:55,-33.6971,-53.4616,70.75,47,6,7.31
373,Egvekinot,RU,2021-10-22 17:18:55,66.3167,-179.1667,11.7,87,100,7.02
374,Mikhaylovka,RU,2021-10-22 17:18:56,50.06,43.2379,55.47,64,16,10.45
375,Guntakal,IN,2021-10-22 17:18:56,15.1667,77.3833,79.3,56,99,6.44
376,Romanovka,RU,2021-10-22 17:18:57,51.7443,42.7527,54.16,70,59,12.3
377,Atbasar,KZ,2021-10-22 17:18:57,51.8,68.3333,36.93,96,100,19.48
378,Balabac,PH,2021-10-22 17:18:58,7.9868,117.0645,81.0,80,100,8.25
379,Bijar,IR,2021-10-22 17:18:58,35.8668,47.6051,49.53,45,1,7.05
